PEMBANGUNAN SISTEM PENGURUSAN PEMBIAYAAN TEKUN NASIONAL (SPPT),,,,
JADUAL PEMATUHAN SPESIFIKASI TEKNIKAL,,,,
NO. TENDER : TEKUN/JP/TENDER2026/SPPT (1),,,,
Mohon isi Maklum Balas YA / TIDAK (Wajib Dilengkapkan) dan Cadangan/Catatan (Sekiranya Ada) di Kotak Berwarna Biru,,,,
BIL.,SPESIFIKASI PERKHIDMATAN,PEMATUHAN,MAKLUM BALAS (WAJIB PILIH YA / TIDAK),CADANGAN/CATATAN
6,MODUL PEMANTAUAN & KUTIPAN,,,
6.1,Penghantaran Peringatan Bayaran (SMS / emel) ,,,
6.1.1,"Petender hendaklah menyediakan sistem yang mempunyai keupayaan untuk menjana (blast) peringatan secara automatik berdasarkan tempoh sebelum tarikh ansuran, semasa hari ansuran dan selepas tarikh tamat ansuran yang boleh dikonfigurasi oleh pegawai sistem atau admin jabatan.",Mandatori,,
6.1.2,"Petender perlu menyediakan fungsi saluran penghantaran seperti SMS, emel, notifikasi aplikasi, surat peringatan, NOD, WhatsApp dan lain-lain yang berkaitan.",Mandatori,,
6.1.3,"Petender dikehendaki membangunkan fungsi yang mempunyai kandungan mesej peringatan termasuk maklumat peminjam seperti Nama penerima biaya (jika perlu), Tarikh matang, Jumlah ansuran, Saluran bayaran tersedia, Nombor rujukan / bantuan, DuitNow QR Code dan lain-lain.",Mandatori,,
6.1.4,"Petender hendaklah membangunkan fungsi integrasi & automasi dengan modul yang mempunyai data tarikh bayaran dan status bayaran terkini. Status SMS / emel dihantar disimpan dalam sistem iaitu Berjaya dihantar, Gagal dihantar (no aktif/emel salah) dan Diterima & dibuka (jika disokong oleh emel gateway).",Mandatori,,
6.1.5,"Petender dikehendaki membangunkan sistem yang mempunyai fungsi notifikasi tambahan untuk peringatan bayaran tertunggak, jadual khas peringatan untuk kategori NPF (akaun bermasalah) dan notifikasi juga boleh dihantar kepada penjamin (jika berkenaan).
",Mandatori,,
6.1.6,Petender hendaklah membangunkan fungsi Cetakan surat secara fizikal daripada sistem yang mengandungi Template editable oleh admin jabatan kepada akaun pembiayaan yang bermasalah.,Mandatori,,
6.1.7,"Petender perlu membangunkan laporan & audit trail yang boleh dijana secara harian/mingguan/bulanan/dan lain-lain yang mempunyai bilangan notifikasi dihantar dan mempunyai respon penerima (buka emel, balasan, tindakan). Semua aktiviti yang dihantar perlu dicatat dalam audit trail log.",Mandatori,,
6.1.8,"Petender hendaklah membangunkan fungsi pemantauan resit secara berterusan melalui penyediaan dashboard dan laporan komprehensif bagi memaparkan status resit yang telah disahkan dan belum disahkan.

Sistem hendaklah memenuhi keperluan berikut:

Pewujudan Resit Belum Sah dalam Lejer Usahawan
• Sistem mesti mewujudkan rekod resit yang belum disahkan dalam lejer usahawan dengan status “Belum Sah / Untick”.
• Resit berstatus belum sah tidak boleh diambil kira dalam jumlah bayaran pembiayaan.
• Tujuan utama adalah bagi memudahkan pegawai mengenal pasti resit yang masih belum disahkan semasa proses penyesuaian (reconciliation).

Paparan Statistik Resit
Dashboard dan laporan hendaklah memaparkan ringkasan berikut:
• Total Belum Sah (A)
• Total Telah Sah (B)
• Jumlah Keseluruhan (A + B)",Mandatori,,
6.2,Senarai Kelewatan Bayaran (Aging Report),,,
6.2.1,"Petender dikehendaki menyediakan sistem yang menjana senarai kelewatan bayaran secara berkala (harian / mingguan / bulanan) termasuk butiran pinjaman. Klasifikasi mengikut bilangan hari lewat, contoh 1-30 hari, 31-60 hari, 61-90 hari dan >90 hari boleh ditetapkan oleh admin jabatan.",Mandatori,,
6.2.2,"Penyenaraian kelewatan bayaran termasuk butiran seperti contoh Nama penerima biaya, No pembiayaan, Jumlah tunggakan, Tarikh akhir bayaran, Cawangan / pegawai seliaan, Status kutipan terkini, Maklumat PSAT (Jika berkaitan) dan lain-lain yang akan ditetapkan.",Mandatori,,
6.2.3,"Petender hendaklah membangunkan laporan berdasarkan negeri / cawangan / zon, produk pinjaman, jenis peminjam (individu / syarikat), pegawai pemantau yang ditugaskan serta mempunyai fungsi download ke format Excel / PDF / lain-lain.",Mandatori,,
6.2.4,"Petender perlu membangunkan fungsi Integrasi dengan sistem kutipan & pemantauan untuk menjana senarai tugasan kutipan harian, menentukan keutamaan tindakan, input automatik kepada sistem lawatan lapangan atau call center. Laporan ini dikemas kini secara masa nyata (real-time) berdasarkan status pembayaran. Modul Pelaksanaan PSAT perlu mempunyai Minit mesyuarat dan Senarai Kutipan Mingguan (SKM) yang boleh dijana secara online (real data).",Mandatori,,
6.2.5,"Petender dikehendaki menyediakan fungsi menjana peringatan secara automatik melalui SMS/emel serta menyediakan senarai tindakan susulan kepada pegawai. Status tindakan boleh ditandakan sebagai “Dalam Tindakan”, “Telah Bayar” atau “Perlu Rujuk Litigasi”.",Mandatori,,
6.2.6,"Petender hendaklah membangunkan fungsi yang menyimpan semua laporan sebagai rekod rasmi, merekod log akses pegawai kepada laporan, menyokong analisis prestasi kutipan bulanan serta pemantauan dalaman dan audit kewangan.",Mandatori,,
6.2.7,"Laporan Pemantauan Pelaksanaan PSAT untuk memastikan PSAT dilaksanakan oleh Pembantu Pegawai (PP) mengikut masa dan hari yang ditetapkan dan keperluan seperti lokasi, masa, hari dan gambar selfie pegawai terlibat.",Mandatori,,
6.2.8,"Pemantauan PSAT iaitu Pengesahan keberadaan pegawai pada PSAT contoh clock in clock out (tagging tarikh, masa, etc), fungsi offline & online",Mandatori,,
6.3,Tindakan Kutipan Awal (Soft Collection),,,
6.3.1,Petender hendaklah memastikan sistem dapat mengenalpasti akaun untuk collection iaitu akaun yang tergolong dalam kategori kelewatan (contoh 1–30 hari atau 31–60 hari). Sumber maklumat daripada aging report dan dashboard kutipan harian. Akaun ini akan disenaraikan untuk tindakan lanjut oleh pegawai kutipan.,Mandatori,,
6.3.2,"Petender dikehendaki menyediakan kaedah tindakan collection melalui kaedah panggilan telefon, emel / surat peringatan awal, SMS reminder dan nota janji bayar (promise to pay).",Mandatori,,
6.3.3,"Petender perlu membangunkan sistem yang boleh menjana senarai tugasan harian kepada pegawai kutipan berdasarkan kawasan, produk dan bilangan hari lewat/tunggakan. Pegawai boleh mengakses/log masuk senarai akaun untuk dihubungi dan mengemaskini status tindakan seperti “Berjaya Dihubungi”, “Janji Bayar”, “Gagal Hubungi” dan lain-lain yang akan ditetapkan.",Mandatori,,
6.3.4,Petender hendaklah membangunkan fungsi di mana Penyelia Collection Call Center (CCC) akan menyelaras senarai usahawan untuk pegawai CCC di mana CCC akan melihat senarai pada dashboard.,Mandatori,,
6.3.5,"Petender perlu menyediakan sistem yang merekod setiap tindakan seperti tarikh, masa, pegawai, kaedah tindakan dan maklum balas penerima biaya. Tindakan ini menjadi sebahagian daripada sejarah akaun dan log audit. Jika gagal selepas beberapa percubaan, akaun boleh eskalasi kepada tindakan lanjut (field visit atau litigasi).",Mandatori,,
6.3.6,"Petender perlu memastikan tindakan collection berkait rapat dengan aging report dashboard, pemantauan kutipan modul call center / lawatan lapangan. Sistem akan menukar status akaun secara automatik jika bayaran diterima selepas collection.",Mandatori,,
6.3.7,"Petender hendaklah memastikan sistem dapat menjana laporan keberkesanan tindakan collection, menganalisis kadar respons dan bayaran selepas tindakan dan menyediakan KPI pegawai kutipan berdasarkan jumlah akaun yang dipulihkan.",Mandatori,,
6.4,Kutipan Lapangan (Field Collection / Call Center),,,
6.4.1,"Petender hendaklah memastikan sistem dapat melaksanakan Penyenaraian Akaun untuk Kutipan Lapangan. Sistem akan mengekstrak senarai akaun yang mempunyai tunggakan (contoh melebihi 30–60 hari), tidak respons terhadap tindakan collection dan terletak dalam radius liputan pegawai kutipan.

Akaun disusun dalam jadual tugasan harian mingguan.

Kriteria pemilihan boleh berdasarkan Jumlah tertunggak, Jenis produk atau Zon/kawasan operasi pegawai.
",Mandatori,,
6.4.2,"Petender dikehendaki untuk menyediakan fungsi Kutipan Lapangan oleh Pegawai (Field Collection).

Pegawai kutipan menerima senarai tugasan melalui sistem (web / aplikasi mobile).

Semasa lawatan, pegawai akan Berjumpa penerima biaya / waris / penjamin, Menyerahkan surat peringatan atau notis rasmi, Merekod maklum balas secara langsung dan Menerima bayaran secara fizikal.

Sistem merekod Tarikh lawatan, Lokasi (GPS), Hasil kutipan atau janji bayar dan Bukti lawatan (gambar / tandatangan).",Mandatori,,
6.4.3,"Petender perlu membangunkan fungsi Kutipan melalui Call Center berdasarkan senarai harian (aging report) menggunakan skrip rasmi TEKUN dengan keupayaan merekodkan maklum balas panggilan (Bayar segera / janji bayar / tiada jawapan (RNA) / Tiada dalam perkhidmatan (NIS) / masuk ke peti suara (VM) / Nombor sibuk (Busy) / Usahawan minta dihubungi semula (FUP) / Talian sibuk (ENG) / dan lain-lain). Sistem perlu menyokong integrasi interactive voice response (IVR), rakaman audio untuk audit serta penghantaran SMS/emel susulan bagi tujuan atau cara pembayaran.
Nota : Penetapan content SMS oleh admin jabatan dan Emel (cadangan infografik cara bayaran).",Mandatori,,
6.4.4,"Petender perlu menyediakan fungsi Penyelarasan dengan Sistem Kutipan & Pemantauan. Setiap tindakan lapangan atau panggilan hendaklah dikemaskini secara real time dan menukar status akaun kepada “Dalam Tindakan Kutipan”, “Janji Bayar” atau “Sedia untuk Tindakan Undang-Undang”. Fungsi ini mestilah berintegrasi dengan modul litigasi sekiranya tiada pembayaran selepas lawatan.",Mandatori,,
6.4.5,"Petender perlu memastikan fungsi Proses Pelaksanaan PSAT (Perjumpaan Setempat Ahli TEMAN) dibangunkan. Dokumen yang diperlukan semasa perjumpaan adalah Senarai Kutipan Mingguan (SKM) - Cetakan / Online, Penyata Kutipan Bulanan & Mingguan - Laporan prestasi bayaran dan Minit Mesyuarat PSAT- Cetakan / Online serta perlu mengemaskini rekod kehadiran usahawan.

Mod offline & online
-offline, data latest berdasarkan id staff
-konsep assign / delegation staf
-encryption data pada device semasa offline",Mandatori,,
6.4.6,"Petender hendaklah memastikan fungsi Log Aktiviti & Jejak Audit dibangunkan seperti Siapa pegawai yang bertugas, Akaun yang telah dikunjungi atau dihubungi dan Keputusan / outcome setiap Tindakan untuk membolehkan pengurusan menilai prestasi dan keberkesanan setiap pegawai kutipan.",Mandatori,,
6.4.7,"Petender dikehendaki untuk menyediakan Laporan Prestasi Kutipan Lapangan seperti Jumlah kutipan hasil lawatan / panggilan, Peratusan kejayaan tindakan kutipan lapangan dan Akaun yang perlu dieskalasi kepada tindakan lanjut. Laporan ini perlu dipaparkan dalam bentuk visualization dashboard.",Mandatori,,
6.5,Pemantauan akaun bermasalah (NPF),,,
6.5.1,"Petender dikehendaki untuk menyediakan Takrifan Akaun Bermasalah (NPF) iaitu Telah melepasi tempoh yang telah ditetapkan oleh admin (current 180 hari kelewatan) bayaran ansuran berturut-turut, Tidak memberi respons terhadap tindakan peringatan & kutipan awal dan Tiada janji bayar atau penyelesaian berstruktur. Sistem secara automatik menandakan status “NPF” kepada akaun berkenaan.
Nota : Penetapan tempoh NPF ditetapkan oleh admin jabatan.",Mandatori,,
6.5.2,"Petender hendaklah memastikan sistem dapat menjana Senarai Akaun NPF berdasarkan kriteria Tempoh tunggakan, Status komunikasi & tindakan sebelumnya, Lokasi / produk pembiayaan / kategori penerima biaya dan lain-lain kriteria yang akan ditetapkan.",Mandatori,,
6.5.3,"Petender dikehendaki untuk menyediakan fungsi Pemantauan Berterusan Melalui Dashboard NPF seperti Jumlah akaun NPF, Nilai keseluruhan tertunggak, Pecahan mengikut negeri / zon, Akaun yang telah dirujuk ke litigasi / koleksi lapangan dan lain-lain kriteria yang akan ditetapkan.",Mandatori,,
6.5.4,"Petender hendaklah memastikan sistem dapat melaksanakan Tindakan Susulan & Penugasan seperti Kutipan lapangan lanjutan, Tawaran penjadualan semula / penstrukturan semula, Rujukan kepada Unit Litigasi / Undang-undang dan lain-lain tindakan.",Mandatori,,
6.5.5,"Petender dikehendaki untuk menyediakan Rekod Komprehensif Akaun NPF seperti Sejarah bayaran, Semua surat / notis / panggilan terdahulu, Catatan pegawai & hasil lawatan dan Status kutipan / tindakan undang-undang.",Mandatori,,
6.5.7,"Petender dikehendaki untuk menyediakan Laporan & Analisis Prestasi berkala (mingguan/bulanan/lain-lain) mengenai Bilangan akaun baharu masuk NPF, Akaun yang berjaya dipulihkan keluar dari NPF dan Keberkesanan tindakan pegawai NPF. Laporan boleh dieksport untuk analisis lanjut atau semakan dalaman.",Mandatori,,
6.6,Ganjaran Prestasi Kutipan (GPK),,,
6.6.1,"Ganjaran prestasi kutipan yang diberikan kepada PP dan PC bagi usahawan seliaan. GPK dibayar mengikut jadual yang ditetapkan, Bayaran secara bulanan, Arahan jana kepada PC secara auto dan Arahan pembayaran kepada HR secara bulanan.
Nota:Penetapan kriteria/formula/berkaitan boleh dilakukan oleh admin jabatan.",Mandatori,,
6.7,eRUNDING,,,
6.7.1,"Rundingan yang dibuat oleh usahawan di antara HQ dan pejabat cawangan/negeri. Rundingan yang dibuat oleh usahawan dapat dilihat oleh pegawai di HQ, Cawangan dan Negeri. Terdapat notifikasi melalui emel cawangan dan Pengemaskinian alamat terkini, no tel, emal dapat dilaksanakan.",Mandatori,,
6.8,Fungsi Semakan Pematuhan SOP,,,
6.8.1,"Petender hendaklah membangunkan Fungsi Semakan Pematuhan SOP yang menyediakan borang senarai semak digital, jadual lawatan pegawai serta perekodan semakan dan ketidakpatuhan secara langsung. Sistem perlu menjana notifikasi automatik (emel/WhatsApp/SMS) bagi cawangan yang mempunyai isu seperti kelewatan proses permohonan, kelewatan daftar resit, kelewatan pengesahan dan bank-in, prestasi lawatan yang rendah serta usahawan yang gagal dilawati bagi memastikan pemantauan operasi yang konsisten, digital dan mudah dilaporkan.",Mandatori,,
6.9,Penjejakan (Tracking) Isu dan Tindakan Pembetulan,,,
6.9.1,"Fungsi Pengurusan Isu hendaklah menjana isu secara automatik bagi setiap penemuan atau ketidakpatuhan dari Fungsi Semakan Pematuhan, memantau status tindakan (terbuka, dalam tindakan, selesai) serta menghantar peringatan kepada Pengurus Cawangan atau Pengurus Negeri sehingga isu diselesaikan dalam tempoh ditetapkan dan membolehkan admin jabatan menetapkan parameter borang mengikut keperluan.",Mandatori,,
6.1,Semakan Dokumentasi di Cawangan,,,
6.10.1,"Sistem hendaklah menyediakan borang senarai semak digital untuk pegawai Jabatan Pemantauan Operasi Cawangan (JPOC) membuat semakan dokumentasi pembiayaan semasa lawatan ke cawangan, merangkumi pemeriksaan fail permohonan, borang permohonan, perjanjian, dokumen sokongan lain serta lain-lain dokumen tambahan yang akan ditetapkan kemudian oleh admin jabatan.",Mandatori,,
6.11,Semakan Dokumen Operasi,,,
6.11.1,"Sistem hendaklah merekod status semakan dokumen operasi seperti Buku Kehadiran dan Rekod Semakan Resit selepas mesyuarat bulanan negeri, memaparkan status “Lengkap”, “Belum Lengkap” atau “Perlu Tindakan”, direkod dalam audit trail dan wajib disemak oleh Eksekutif/Pengurus Negeri serta menjana amaran automatik jika dokumen tidak diserahkan dalam tempoh tiga hari.",Mandatori,,
6.12,Senarai Kutipan Harian (SKH),,,
6.12.1,"Sistem hendaklah menjana Senarai Kutipan Harian (SKH) bagi setiap cawangan untuk memudahkan pegawai melaksanakan kutipan dengan keupayaan mengubahsuai senarai mengikut keperluan cawangan/negeri, zon/lokasi usahawan dan seliaan pegawai. Modul ini perlu menyokong penetapan hari kutipan, tagging kawasan/blok oleh PP, kemas kini zon oleh PC, integrasi dengan TEKUNPay serta apa-apa konfigurasi tambahan yang diperlukan bagi aplikasi pegawai.",Mandatori,,
6.13,Semakan Rekod Pembayaran,,,
6.13.1,"Sistem hendaklah menjana senarai rawak usahawan (minimum tiga bagi setiap Pembantu Pegawai setiap bulan) untuk semakan rekod pembayaran oleh Pengurus Cawangan, membolehkan rekod hasil semakan melalui lawatan atau panggilan berserta lampiran penyata pembiayaan dimuat naik serta memaparkan amaran sekiranya terdapat percanggahan data. Proses ini wajib mendapat cap perakuan Pengurus Cawangan dan usahawan bagi lawatan dan dilaksanakan mengikut kriteria yang ditetapkan oleh admin jabatan.",Mandatori,,
6.14,Pemantauan KPI Pegawai Kutipan,,,
6.14.1,"Sistem hendaklah menyediakan Dashboard Prestasi Kutipan yang memaparkan KPI pegawai kutipan seperti peratus akaun dipulihkan, masa respon dan keberkesanan collection dengan filter mengikut negeri atau cawangan serta notifikasi prestasi bulanan termasuk ranking di peringkat cawangan, negeri dan HQ. KPI merangkumi bilangan lawatan berjaya, peratus kutipan berbanding sasaran, respons terhadap aduan dan masa digunakan untuk kutipan dengan tambahan peta penjejakan masa/pergerakan berdasarkan lawatan usahawan serta integrasi penuh dengan data aging report dan modul HR.",Mandatori,,
6.15,Penilaian Cawangan (Branch Assessment - BAS) ,,,
6.15.1,"Sistem hendaklah menyediakan Dashboard Penilaian Cawangan (BAS) bagi melaksanakan penilaian menyeluruh terhadap semua aspek operasi cawangan berdasarkan data dan maklumat yang tersedia dalam sistem dengan olahan data yang menghasilkan skor penilaian bulanan dan tahunan. Penilaian ini perlu mengambil kira tindakan yang dikenakan ke atas cawangan seperti surcaj, kesalahan dan ketidakpatuhan serta membolehkan admin jabatan menetapkan kriteria skoring (AI Scoring) mengikut keperluan operasi.",Mandatori,,
6.16,Masterlist Usahawan,,,
6.16.1,"Sistem hendaklah menyediakan fungsi penetapan senarai atau parameter oleh admin jabatan di mana masterlist yang ditetapkan akan dihantar kepada pegawai atau cawangan untuk tindakan dan maklum balas merangkumi pelbagai inisiatif seperti Ops Biaya, Ops Kutipan, Ops Road to 40K dan lain-lain mengikut keperluan operasi.",Mandatori,,
6.17,Missing In Action (MIA),,,
6.17.1,Sistem hendaklah menyediakan proses permohonan oleh PP untuk menandakan usahawan sebagai hilang atau dijumpai semula dengan memuat naik gambar premis yang telah ditutup atau dibuka semula. Permohonan tersebut disyorkan oleh PC dan seterusnya disahkan oleh staf HQ bagi memastikan rekod status usahawan sentiasa tepat dan terkini.,Mandatori,,
TAMAT MODUL PEMANTAUAN DAN KUTIPAN,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
