,,,,,,
4.11.6,"Semua rekod tunggakan (owing) hendaklah disimpan sekurang-kurangnya 7 tahun, mematuhi piawaian polisi TEKUN serta keperluan Bank Negara Malaysia (BNM) dan Akta Arkib Negara. Rekod penyimpanan mestilah disokong oleh mekanisme audit trail yang lengkap untuk pengesahan dan penguatkuasaan sekiranya diperlukan.",Mandatori,,,,
4.11.7,"Sistem hendaklah dilengkapi dengan AI Monitoring & Predictive Analytics yang mampu mengenal pasti corak tunggakan berulang, mengesan risiko kegagalan pembayaran awal (early warning system) serta memberi cadangan intervensi seperti Collection Call Centre (CCC) atau reschedule kepada pegawai TEKUN.",Mandatori,,,,
4.11.8,Owing boleh ditandakan dalam sistem di mana sebarang bayaran pembiayaan usahawan akan diselaraskan kepada owing terlebih dahulu dan penambahan kod owing turut disokong.,Mandatori,,,,
4.12,Pengurusan Akaun Overlap,,,,,
4.12.1,"Akaun overlapping (semasa kelulusan) akan terus auto close.
Paparan status untuk akaun yang overlap.
Nota: Overlapping akaun bagi produk TEKUN lain adalah dibenarkan khusus untuk skim Kontrak-i, tertakluk kepada tetapan pentadbir (admin).",Mandatori,,,,
4.13,Pengurusan Akaun Tidak Aktif / Pembatalan Pembiayaan,,,,,
4.13.1,"Sistem mestilah dilengkapi dengan mekanisme pengesanan automatik untuk mengenal pasti akaun tidak aktif, contohnya akaun tanpa sebarang transaksi atau bayaran balik dalam tempoh tertentu yang ditetapkan oleh dasar TEKUN. Sistem perlu memberikan penandaan automatik (flagging) bagi memudahkan tindakan lanjut oleh pegawai.",Mandatori,,,,
4.13.2,"Sistem hendaklah membolehkan pegawai memproses pembatalan pembiayaan melalui aliran kelulusan berperingkat (multi-level approval workflow), termasuk semakan awal, perakuan oleh cawangan dan kelulusan akhir oleh pihak berkepentingan di Ibu Pejabat.",Mandatori,,,,
4.13.3,"Notifikasi automatik (SMS/Email) mestilah dihantar kepada pemohon/peminjam sebagai makluman awal sebelum pembatalan akaun dilaksanakan. Sistem juga perlu membolehkan konfigurasi masa notifikasi (contoh: 7 hari sebelum tindakan).
Nota: Penetapan oleh admin jabatan.",Mandatori,,,,
4.13.4,"Sistem perlu menyimpan dan mengekalkan semua rekod pembatalan secara lengkap termasuk sebab pembatalan, dokumen sokongan, tarikh kelulusan, pegawai yang meluluskan serta status akhir akaun. Rekod ini perlu tersedia untuk tujuan audit, siasatan dalaman dan keperluan litigasi.",Mandatori,,,,
4.13.5,"Sistem mestilah menyediakan fungsi laporan (reporting) berkaitan akaun tidak aktif dan pembatalan pembiayaan. Laporan ini boleh dijana secara harian, mingguan, bulanan atau mengikut tarikh tertentu serta mempunyai advance filter mengikut parameter seperti cawangan, negeri, produk pembiayaan dan status akaun.",Mandatori,,,,
4.13.6,Sistem hendaklah mempunyai analisis trend akaun tidak aktif dan pembatalan bagi tujuan perancangan strategik serta kawalan dalaman.,Mandatori,,,,
4.13.7,"Audit trail yang lengkap mestilah direkodkan bagi setiap tindakan berkaitan akaun tidak aktif dan pembatalan, termasuk identiti pegawai, masa, lokasi/IP, serta tindakan yang dilaksanakan.",Mandatori,,,,
4.14,Penandaan / Tagging “SNC” (Shariah Non-Compliance),,,,,
4.14.1,Sistem hendaklah membolehkan pegawai menandakan akaun pembiayaan sebagai SNC berdasarkan keputusan rasmi Jawatankuasa Syariah (JKS) mengikut polisi TEKUN.,Mandatori,,,,
4.14.2,Semua kutipan hasil daripada akaun SNC mestilah direkodkan secara automatik dan disalurkan ke dalam akaun khas SNC mengikut JKS (polisi TEKUN).,Mandatori,,,,
4.14.3,"Sistem perlu menyokong audit trail penuh bagi semua tindakan tagging SNC, termasuk tarikh, masa, pegawai yang menandakan, dokumen sokongan, dan justifikasi keputusan.",Mandatori,,,,
4.14.4,"Sistem hendaklah menyediakan mekanisme kawalan peranan (Role-Based Access Control – RBAC) supaya hanya pegawai yang diberi kuasa boleh menandakan akaun sebagai SNC.
Nota: Penetapan oleh admin jabatan.",Mandatori,,,,
4.14.5,"Laporan berkala mengenai akaun SNC mestilah boleh dijana secara harian, bulanan, dan tahunan dengan penapisan mengikut produk, cawangan, negeri, kategori pelanggan dan tempoh masa.",Mandatori,,,,
4.14.6,"Dashboard pemantauan khas untuk status SNC perlu disediakan dengan indikator visual jelas (contoh: Hijau = Patuh, Merah = SNC, Kuning = Semakan JKS).",Mandatori,,,,
4.14.7,Sistem mestilah mempunyai fungsi integrasi dengan sistem perakaunan (GRP) supaya kutipan daripada akaun SNC dilaporkan secara tepat untuk tujuan penyesuaian dan audit.,Mandatori,,,,
4.14.8,Semua data berkaitan SNC perlu disimpan sekurang-kurangnya 7 tahun dengan ciri tamper-proof logging (contoh: hash encryption atau blockchain-based logging).,Mandatori,,,,
4.14.9,Sistem hendaklah menyokong AI Monitoring & Early Warning untuk mengesan corak transaksi yang berpotensi melibatkan pelanggaran syariah sebelum diluluskan JKS (polisi TEKUN).,Mandatori,,,,
4.14.10,Notifikasi automatik perlu dihantar kepada pegawai yang berkenaan setiap kali akaun ditandakan atau dikeluarkan daripada kategori SNC.,Mandatori,,,,
4.15,Pengurusan Akaun Write-Off,,,,,
4.15.1,"Sistem mestilah membolehkan pegawai mengemukakan permohonan write-off dengan dokumen sokongan lengkap (contoh: surat rayuan peminjam, pengesahan muflis, laporan siasatan atau minit kelulusan dalaman).",Mandatori,,,,
4.15.2,"Semua permohonan write-off hendaklah melalui aliran kelulusan berperingkat (contoh: Cawangan ? Negeri ? HQ) yang boleh dikonfigurasi mengikut dasar semasa dan keperluan polisi TEKUN. Usahawan yang diluluskan diskaun write-off akan di tagging di dalam sistem. Status penerima biaya berubah kepada selesai bayar.
Nota:Tahap, peranan dan aliran pengesahan di peringkat HQ adalah tertakluk kepada konfigurasi dan kelulusan pihak pentadbir (admin) jabatan ..",Mandatori,,,,
4.15.3,Sistem perlu mengemas kini baki akaun secara automatik selepas kelulusan write-off sambil mengekalkan rekod transaksi asal untuk memastikan integriti dan jejak audit data tidak terjejas.,Mandatori,,,,
4.15.4,"Sistem hendaklah menyediakan laporan write-off yang boleh dijana secara berkala (harian, bulanan, tahunan) dengan fungsi advance filter mengikut cawangan, negeri, produk, jumlah diluluskan dan pegawai yang meluluskan.",Mandatori,,,,
4.15.5,"Semua write-off hendaklah direkodkan dalam audit trail terperinci termasuk tarikh, pegawai yang memohon, pegawai yang meluluskan, jumlah diluluskan, alasan dan dokumen rujukan.",Mandatori,,,,
4.15.6,"Sistem mestilah dilengkapi dengan dashboard pemantauan pengurusan yang memaparkan jumlah keseluruhan write-off, trend mengikut cawangan/negeri, analisis impak kewangan serta indikator risiko untuk kawalan strategik.",Mandatori,,,,
4.16,Pengurusan Akaun Meninggal Dunia,,,,,
4.16.1,Sistem hendaklah menyokong pengesahan kematian melalui integrasi dengan JPN (Jabatan Pendaftaran Negara) atau dokumen rasmi seperti sijil kematian sebelum diskaun boleh diproses.,Mandatori,,,,
4.16.2,"Sistem mestilah membolehkan pegawai mengemukakan permohonan baki pembiayaan selepas kematian dengan dokumen sokongan, yang kemudiannya diproses melalui aliran kelulusan berperingkat (contoh: Cawangan ? Negeri ? HQ).",Mandatori,,,,
4.16.3,Usahawan yang layak menerima diskaun meninggal dunia dapat di tagging di dalam sistem.,Mandatori,,,,
4.16.4,Status penerima biaya berubah kepada selesai bayar.,Mandatori,,,,
4.16.5,"Selepas kelulusan diberikan, sistem perlu mengemaskini baki pembiayaan secara automatik dengan menandakan akaun tersebut seperti “Ditutup –Meninggal Dunia” tanpa menjejaskan rekod transaksi asal.",Mandatori,,,,
4.16.6,Notifikasi automatik (SMS/Email) mestilah dihantar kepada waris berdaftar atau pihak berkaitan bagi memaklumkan status akaun selepas pelaksanaan.,Mandatori,,,,
4.16.7,"Semua kes Meninggal Dunia mestilah direkodkan dalam audit trail terperinci, termasuk tarikh permohonan, pegawai pemproses, pegawai pelulus, jumlah baki dan dokumen pengesahan.",Mandatori,,,,
4.16.8,"Sistem hendaklah menyediakan laporan khusus berkaitan kes Meninggal Dunia, mempunyai advance filter mengikut tarikh, cawangan, negeri, produk pembiayaan serta jumlah baki yang dilupuskan.",Mandatori,,,,
4.17,Modul Semakan Pematuhan SOP,,,,,
4.17.1,Sistem mestilah membolehkan pemetaan aliran kerja (workflow mapping) dengan SOP rasmi TEKUN supaya setiap proses yang dilaksanakan oleh pegawai dapat dibandingkan dengan tatacara yang diluluskan.,Mandatori,,,,
4.17.2,Sistem hendaklah menyediakan fungsi secara automatik memberi amaran melalui notifikasi kepada pegawai sekiranya terdapat tindakan yang bercanggah dengan SOP atau dasar pembiayaan.,Mandatori,,,,
4.17.3,"Semua ketidakpatuhan SOP (non-compliance) mestilah direkodkan dalam log audit trail dengan butiran pegawai, tarikh, masa, tindakan yang diambil serta justifikasi.",Mandatori,,,,
4.17.4,"Sistem perlu menyediakan dashboard pematuhan untuk pengurusan HQ dan negeri, memaparkan status pematuhan mengikut cawangan, produk pembiayaan dan kategori pelanggan.",Mandatori,,,,
4.17.5,"Laporan pematuhan SOP mestilah boleh dijana secara berkala (mingguan, bulanan, tahunan) dengan fungsi advance filter mengikut pegawai, cawangan, negeri atau modul tertentu.",Mandatori,,,,
4.17.6,Notifikasi automatik hendaklah dihantar kepada penyelia atau pengurusan apabila berlaku pelanggaran SOP kritikal bagi membolehkan tindakan segera diambil.,Mandatori,,,,
4.18,Penjejakan Isu dan Tindakan Pembetulan,,,,,
4.18.1,"Sistem mestilah membolehkan pegawai merekod isu baharu (contoh: dokumen tidak lengkap, kelewatan bayaran, masalah integrasi sistem) dengan butiran tarikh, cawangan, kategori isu dan deskripsi ringkas.",Mandatori,,,,
4.18.2,Setiap isu mestilah ditugaskan (issue assignment) kepada pegawai atau unit yang bertanggungjawab dengan tarikh akhir penyelesaian (due date) dan keutamaan (priority level).,Mandatori,,,,
4.18.3,"Sistem perlu menyediakan fungsi penjejakan status isu (contoh: Baharu, Sedang Disiasat, Dalam Tindakan, Selesai, Ditutup) dengan kemaskini masa nyata.",Mandatori,,,,
4.18.4,"Laporan tindakan pembetulan (Corrective Action Report – CAR) mestilah boleh dijana secara automatik untuk mengesan trend isu, kekerapan serta keberkesanan penyelesaian.",Mandatori,,,,
4.18.5,"Dashboard pemantauan isu perlu disediakan untuk pengurusan HQ, negeri dan cawangan dengan indikator visual (contoh: merah = kritikal, kuning = sederhana, hijau = selesai).",Mandatori,,,,
4.18.6,"Semua rekod isu dan tindakan pembetulan mestilah disimpan dalam audit trail, lengkap dengan pegawai yang merekod, tarikh, tindakan diambil dan bukti sokongan (contoh: dokumen, minit mesyuarat, surat rasmi).",Mandatori,,,,
4.19,Semakan Dokumentasi di Cawangan,,,,,
4.19.1,"Sistem mestilah menyediakan senarai semak (checklist) dokumen yang diperlukan mengikut jenis produk pembiayaan (contoh: MyKad, SSM, penyata bank, dokumen cagaran) untuk dipantau di peringkat cawangan.",Mandatori,,,,
4.19.2,"Pegawai cawangan perlu boleh menandakan status semakan dokumen (contoh: Lengkap, Tidak Lengkap, Perlu Pembetulan) secara digital dalam sistem.",Mandatori,,,,
4.19.3,Sistem perlu menyokong fungsi muat naik dokumen tambahan atau gantian oleh pemohon atau pegawai cawangan dengan kawalan versi (version control) untuk mengelakkan kehilangan rekod asal.,Mandatori,,,,
4.19.4,Notifikasi automatik (SMS/Email/Portal) hendaklah dihantar kepada pemohon sekiranya terdapat dokumen tidak lengkap atau perlu dikemas kini.,Mandatori,,,,
4.19.5,"Laporan semakan dokumentasi di cawangan mestilah boleh dijana berdasarkan tarikh, pegawai, status dokumen dan jenis produk pembiayaan untuk tujuan pemantauan HQ/Negeri.",Mandatori,,,,
4.19.6,"Semua tindakan semakan dokumentasi di cawangan hendaklah direkodkan dalam audit trail termasuk tarikh, masa, nama pegawai, dokumen disemak dan status keputusan.",Mandatori,,,,
4.2,Semakan Dokumen Operasi,,,,,
4.20.1,"Sistem mestilah menyediakan repositori dokumen operasi (contoh: kontrak, surat tawaran, perjanjian cagaran) yang boleh diakses oleh pegawai mengikut tahap kebenaran.",Mandatori,,,,
4.20.2,"Pegawai hendaklah boleh melakukan semakan dokumen operasi secara digital dengan fungsi tandatangan elektronik, cap masa (timestamp) dan kelulusan berperingkat.",Mandatori,,,,
4.20.3,Sistem perlu menyokong kawalan versi (version control) bagi semua dokumen operasi supaya sebarang perubahan atau penggantian dapat dijejaki.,Mandatori,,,,
4.20.4,"Laporan semakan dokumen operasi mestilah boleh dijana dan ditapis mengikut produk, cawangan, pegawai, status kelulusan dan lain-lain.",Mandatori,,,,
4.20.5,"Semua dokumen operasi yang disemak hendaklah direkodkan dalam audit trail termasuk tarikh, masa, pegawai semakan, tindakan diluluskan/ditolak dan alasan.",Mandatori,,,,
4.20.6,"Sistem perlu dilengkapi dengan AI Document Validator untuk mengesan ketidaklengkapan, perbezaan data (contoh: nama, nombor IC, amaun) atau potensi ketidakpatuhan dokumen sebelum diluluskan.",Mandatori,,,,
4.21,Penukaran Nombor Telefon Usahawan,,,,,
4.21.1,Sistem mestilah membolehkan usahawan memohon penukaran nombor telefon melalui portal SPPT atau aplikasi mudah alih dengan pengesahan identiti (OTP / eKYC).,Mandatori,,,,
4.21.2,Pegawai TEKUN perlu mempunyai fungsi untuk mengesahkan dan meluluskan permohonan penukaran nombor telefon dengan justifikasi yang direkodkan.,Mandatori,,,,
4.21.3,Sistem hendaklah menghantar notifikasi automatik kepada nombor lama dan nombor baharu selepas perubahan berjaya untuk tujuan keselamatan.,Mandatori,,,,
4.21.4,"Semua perubahan nombor telefon mestilah direkodkan dalam audit trail (tarikh, masa, pegawai, nombor lama, nombor baharu).",Mandatori,,,,
4.21.5,Sistem perlu menyokong sekatan penukaran nombor telefon terlalu kerap (contoh: maksimum 2 kali setahun) untuk mengurangkan risiko penyalahgunaan.,Mandatori,,,,
4.21.6,"Laporan penukaran nombor telefon mestilah boleh dijana mengikut cawangan, negeri, tempoh masa, atau pegawai yang meluluskan.",Mandatori,,,,
4.22,Penghantaran Peringatan Bayaran,,,,,
4.22.1,"Sistem mestilah boleh menghantar peringatan automatik melalui SMS/Email/Push Notification sebelum, semasa, dan selepas tarikh ansuran matang.",Mandatori,,,,
4.22.2,"Petender perlu membolehkan pegawai menetapkan konfigurasi notifikasi (contoh: 7 hari sebelum matang, 3 hari sebelum, hari matang, 7 hari selepas).",Mandatori,,,,
4.22.3,"Sistem perlu menyokong multi-channel notification (SMS, Email, WhatsApp, aplikasi mudah alih) untuk capaian lebih meluas.",Mandatori,,,,
4.22.4,"Semua peringatan yang dihantar mestilah direkodkan dalam audit trail (tarikh, masa, saluran, status dihantar/berjaya/gagal).",Mandatori,,,,
4.22.5,Dashboard khas untuk pegawai HQ dan cawangan perlu disediakan bagi memantau status penghantaran peringatan dan kadar keberkesanan kutipan.,Mandatori,,,,
4.22.6,Sistem perlu menyokong fungsi AI Predictive Reminder yang menganalisis corak pembayaran usahawan dan menghantar peringatan lebih kerap kepada akaun berisiko tinggi.,Mandatori,,,,
4.22.7,Sistem perlu menjana laporan berjaya/gagal hantar SMS.,Mandatori,,,,
4.23,Status Penutupan Akaun,,,,,
4.23.1,Sistem hendaklah secara automatik menukar status akaun kepada “Ditutup” apabila baki pinjaman (pokok + keuntungan + penalti) telah diselesaikan sepenuhnya. Simpanan akan disalurkan terus ke akaun bank usahawan (sekiranya ada).,Mandatori,,,,
4.23.2,"Petender hendaklah membangunkan aliran kelulusan penutupan yang melibatkan pegawai cawangan, negeri, dan HQ, bagi mengelakkan penutupan tanpa kelulusan rasmi.",Mandatori,,,,
4.23.3,"Audit trail terperinci mesti direkodkan, termasuk tarikh, masa, ID pegawai, lokasi/IP, alasan penutupan, serta dokumen sokongan (contoh: surat pelepasan).",Mandatori,,,,
4.23.4,"Notifikasi automatik (SMS/Email/Portal) perlu dihantar kepada peminjam, termasuk surat rasmi penutupan akaun dalam format PDF.",Mandatori,,,,
4.23.5,"Laporan penutupan akaun hendaklah boleh dijana mengikut cawangan, negeri, produk, tarikh, atau kategori peminjam, serta dieksport ke PDF/Excel/CSV.",Mandatori,,,,
4.23.6,"AI Anomaly Detection perlu digunakan untuk mengenal pasti penutupan akaun luar biasa (contoh: penutupan awal luar daripada polisi, percubaan bypass kelulusan).",,,,,
4.23.7,"Sistem mestilah mempunyai dashboard pemantauan akaun ditutup, lengkap dengan indikator status (selesai, lupus, litigasi) untuk analitik pengurusan.",Mandatori,,,,
4.24,Takaful Usahawan,,,,,
4.24.1,Penolakan takaful tidak akan berlaku jika pemohon Tarik diri/Tolak tawaran (tidak berminat untuk pembiayaan).,Mandatori,,,,
4.24.2,Sistem perlu mempunyai skrin takaful untuk notifikasi pembayaran takaful dan mempunyai integration/interface dengan takaful.,Mandatori,,,,
4.24.3,"Penetapan oleh admin jabatan berkaitan status usahawan seperti meninggal, keilatan dan lain lain.",Mandatori,,,,
4.24.4,"Sekiranya usahawan melakukan pembiayaan bertindih/ulangan/penyelesaian awal sebelum tarikh akhir bayar, lebihan caruman takaful dikredit ke akaun usahawan.",Mandatori,,,,
4.25,Pemantauan Akaun Bermasalah,,,,,
4.25.1,Sistem hendaklah menandakan akaun sebagai NPF secara automatik apabila akaun gagal membuat bayaran melebihi tempoh dasar (contoh: > 90 hari tunggakan).,Mandatori,,,,
4.25.2,"Petender perlu membangunkan modul tagging risiko untuk mengklasifikasikan akaun litigasi, risiko tinggi, atau yang memerlukan tindakan khas.",Mandatori,,,,
4.25.3,"Dashboard pemantauan mesti memaparkan akaun bermasalah dengan indikator risiko warna (Contoh : Hijau = Normal, Kuning = Amaran, Merah = NPL/Litigasi).",Mandatori,,,,
4.25.4,Sistem perlu menyokong integrasi dengan modul litigasi & kutipan supaya status tindakan undang-undang atau kutipan lapangan sentiasa dikemas kini secara langsung.,Mandatori,,,,
4.25.5,"AI Predictive Analytics perlu disediakan untuk meramal kemungkinan akaun menjadi NPL berdasarkan pola bayaran, demografi, dan sejarah pinjaman.",Mandatori,,,,
4.25.6,"Semua data pemantauan hendaklah direkodkan dalam audit trail, dan AI Risk Scoring digunakan untuk mengklasifikasikan akaun mengikut tahap risiko.",Mandatori,,,,
4.25.7,Notifikasi automatik (SMS/Email) hendaklah dihantar kepada pegawai apabila akaun mencapai tahap risiko tertentu atau memasuki litigasi.,Mandatori,,,,
4.25.8,"Semua rekod pemantauan akaun bermasalah hendaklah direkodkan dengan audit trail terperinci dan boleh digunakan untuk laporan dalaman, analisis risiko, dan laporan kepada Bank Negara Malaysia (BNM).",Mandatori,,,,
4.25.9,Amaran bagi akaun NPF milik Pengurus Cawangan yang akan  dibincangkan dalam mesyuarat bulanan negeri.,Mandatori,,,,
4.26,Kemaskini/Perakuan Maklumat Dalaman Sistem,,,,,
4.26.1,Sistem hendaklah membenarkan pegawai yang diberi kuasa mengemaskini maklumat asas peminjam dengan kawalan hak akses ketat.,Mandatori,,,,
4.26.2,Semua kemaskini mestilah melalui proses workflow perakuan berperingkat sebelum sah digunakan.,Mandatori,,,,
4.26.3,"Audit trail lengkap perlu direkodkan termasuk tarikh, masa, ID pengguna, jenis perubahan, lokasi/IP, dan pegawai yang meluluskan.",Mandatori,,,,
4.26.4,Sistem mestilah menghantar notifikasi automatik (SMS/Email/Portal) kepada peminjam dan pegawai selepas perubahan disahkan.,Mandatori,,,,
4.26.5,"AI Anomaly Detection perlu dibangunkan untuk mengesan perubahan data luar biasa (contoh: terlalu banyak kemaskini dalam masa singkat, perubahan pada maklumat kewangan sensitif).",,,,,
4.26.6,"Dashboard analitik perlu disediakan untuk memaparkan pola kemaskini data (contoh: jenis perubahan paling kerap, pegawai paling aktif membuat perubahan) bagi tujuan kawalan dalaman.",Mandatori,,,,
4.26.7,"Maklumat yang tidak lengkap memerlukan perhatian cawangan. Contoh perkara yang mungkin wujud seperti Maklumat tiada dan tidak lengkap, Maklumat bertukar, Perakuan oleh pengurus cawangan / cawangan dan Keperluan semakan dokumen jika terdapat keraguan.",Mandatori,,,,
TAMAT MODUL PENGURUSAN AKAUN PEMBIAYAAN,,,,,,
